name,smi,success
3F1,Cc1ccc(S(=O)(=O)/N=S(\C)c2ccc(OCc3ccccc3)cc2)cc1,1
3G7,CC(=O)c1ccc(N2CCN(C(=O)CN3CCC(C(=O)Nc4ccc(O)c(Cl)c4)C3)CC2)cc1,1
3GR,O=CC(O)CO,1
3H0,CCCc1ccccc1,1
3HI,CC(C)c1c(C(=O)Nc2ccccc2O)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,1
3HS,O=C(O)c1cc(-c2ccc(CNC(=O)c3ccc(-c4ccc(C(=O)O)o4)cc3Cl)cc2)n(-c2ccc(Cl)c(Cl)c2)n1,1
3HV,O=C(O)c1cc(-c2ccc(CN3CCc4cc(-c5ccc(C(=O)O)o5)ccc4C3=S)cc2)n(-c2ccc(Cl)c(Cl)c2)n1,1
3HW,O=C(O)c1cc(-c2ccc(C(=S)NCc3ccc(-c4ccc(C(=O)O)o4)cc3)cc2)n(-c2ccc(Cl)c(Cl)c2)n1,1
3HZ,CC(=O)N(Cc1ccc(-c2ccc(C(=O)O)o2)cc1)Cc1ccc(-c2cc(C(=O)O)nn2-c2ccc(Cl)c(Cl)c2)cc1,1
3IT,[H]/C=C(\C)c1ccccc(=O)c1O,1
3J0,O=C(O)c1cc(-c2ccc(CNC(=S)c3ccc(-c4ccc(C(=O)O)o4)cc3)cc2)n(-c2ccc(Cl)c(Cl)c2)n1,1
3JF,CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,1
3JG,CC(C)(C)CC(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2cnco2)cc1,1
3JH,CC(=O)NC(CC(C)C)C(=O)NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,1
3JJ,CC(=O)NC(C(=O)NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C)C(C)(C)C,1
3JK,Cc1ncoc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)CC(C)(C)C)cc1,1
